epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.3154,2.02714,3.10413,1.54592,0.0105,0.89602,0.10817,0.03768,1.68173,3.1568,1.28377,0.00022,0.00022,0.00022
2,149.96,1.70733,1.80472,1.28489,0.01043,0.88991,0.56465,0.22562,1.40911,2.88849,1.16583,0.00043723,0.00043723,0.00043723
3,215.923,1.50707,1.40305,1.16869,0.0105,0.89602,0.28117,0.16509,1.31249,2.88184,1.14689,0.0006307,0.0006307,0.0006307
4,269.359,1.50989,1.32734,1.21151,0.011,0.93884,0.16735,0.08265,1.36368,2.98098,1.18102,0.00080041,0.00080041,0.00080041
5,321.305,1.51645,1.23644,1.2228,1,0.20559,0.56045,0.36029,1.32405,2.58285,1.15104,0.00094636,0.00094636,0.00094636
6,374.775,1.43979,1.17117,1.18042,1,0.56522,0.82135,0.46105,1.4876,2.0593,1.18157,0.00106855,0.00106855,0.00106855
7,430.319,1.39858,1.11236,1.14297,0.98321,0.71637,0.93409,0.51768,1.41645,1.64717,1.17309,0.00116698,0.00116698,0.00116698
8,496.792,1.43447,1.11695,1.18798,0.97939,0.72646,0.94751,0.56942,1.30124,1.42936,1.10947,0.00124165,0.00124165,0.00124165
9,562.063,1.36203,1.07936,1.15076,0.93088,0.95413,0.98074,0.57354,1.33545,1.2115,1.11186,0.001208,0.001208,0.001208
10,625.671,1.37455,1.05643,1.17579,0.92296,0.95719,0.98003,0.60391,1.25663,1.12481,1.088,0.001109,0.001109,0.001109
11,685.491,1.28642,1.25295,1.15628,0.93837,0.88468,0.9698,0.60635,1.26495,1.12784,1.09265,0.00101,0.00101,0.00101
12,741.195,1.26968,1.15114,1.14458,0.95328,0.87357,0.97671,0.62437,1.21348,1.15002,1.08024,0.000911,0.000911,0.000911
13,797.527,1.22635,1.08883,1.11271,0.94601,0.96024,0.9847,0.63983,1.21519,0.91742,1.08285,0.000812,0.000812,0.000812
14,853.789,1.22242,1.02582,1.12399,0.94246,0.9419,0.97939,0.63164,1.21752,0.87411,1.08961,0.000713,0.000713,0.000713
15,909.275,1.22754,1.01174,1.12161,0.95973,0.9475,0.98395,0.64052,1.17998,0.82189,1.06654,0.000614,0.000614,0.000614
16,964.242,1.16213,0.96142,1.09912,0.95759,0.96679,0.98954,0.6415,1.18366,0.7991,1.06266,0.000515,0.000515,0.000515
17,1020.06,1.16654,0.94801,1.1073,0.96445,0.94495,0.99022,0.63801,1.15608,0.7803,1.04808,0.000416,0.000416,0.000416
18,1075.77,1.13953,0.92601,1.05711,0.982,0.93578,0.98844,0.63276,1.14996,0.77059,1.0468,0.000317,0.000317,0.000317
19,1131.69,1.10475,0.90257,1.06194,0.96287,0.94801,0.989,0.6478,1.14064,0.75241,1.0424,0.000218,0.000218,0.000218
20,1186.89,1.15099,0.90949,1.07633,0.95984,0.95719,0.98897,0.64351,1.13721,0.74554,1.04096,0.000119,0.000119,0.000119
